CSP;Prestadora
12;Algar Telecom S/A
13;Fonar Telecomunicação Brasileiro Ltda.
14;Oi S/A em Recuperação Judicial (Brasil Telecom)
15;Telefônica Brasil S/A (Telesp)
16;Viacom Next Generation Comunicação Ltda.
17;Transit do Brasil S/A
18;Spin Telecomunicações e Representações Ltda.
21;Embratel
22;Marcelo M. Dionísio (Goiás Telecom)
24;DialdataTelecomunicações Ltda.
26;IDT Brasil Telecomunicações Ltda.
27;Aerotech Telecomunicações Ltda.
29;T- Leste Telecomunicações Leste de São Paulo Ltda.
31;Telemar Norte Leste S/A em Recuperação Judicial
34;ETML Empresa de Telefonia Multiusuário S/A
36;DSLI Vox 3 Brasil Telecomunnicações Ltda.
37;Golden Line Telecom Ltda.
38;Telecom South America S/A
39;Espelhinhos
41;TIM S/A
42;GT Group International Brasil Telecomunicações Ltda.
43;Sercomtel S/A Telecomunicações
45;Centurylink Comunicações do Brasil Ltda.
46;Hoje Sistemas de Informática Ltda.
47;BT Communications do Brasil Ltda.
49;Cambridge Telecomunicações Ltda.
53;Ostara Telecomunicações Ltda.
55;Adyl Net Telecomunicações Ltda. 
56;Big Telco Telecomunicações Ltda. (Espas Telecomunicações)
58;Voitel Telecomunicações Ltda. (Stellar)
61;Vonex Telecomunicações Ltda.
62;OTS - Option Telecom Serviços de Telecomunicações Ltda.
63;Hello Brazil Telecomunicações EIRELI
65;Telecom 65 Ltda.
71;Yipi Telecom Ltda.
72;Locaweb Telecom Telecomunicações Ltda.
74;Cabo Serviços de Telecomunicações Ltda.
75;Vipway Telecomunicações Ltda.
76;Sete Meia Telecomunicações Ltda.
81;Datora Telecomunicações Ltda.
85;America Net Ltda.
87;HIT Telecom*
91;Falkland Tecnologia em Telecomunicações Ltda.
98;Alpha Nobilis Consultoria e Serviços Ltda.
99;Nextel Telecomunicações Ltda 
